Year,Uppruni,Value
1944,,125.0248081
1945,,188.1900916
1946,,196.7611771
1947,,197.4312618
1948,,219.730018
1949,,215.9824407
1950,,219.9203074
1951,,214.9653829
1952,,211.6691688
1953,,208.2052384
1954,,471.1814617
1955,,476.1685028
1956,,465.8765989
1957,,456.6564229
1958,,445.348886
1959,,469.5573474
1960,,535.4922205
1961,,599.5645602
1962,,588.0452521
1963,,577.7347805
1964,,657.1745839
1965,,651.8368546
1966,,641.16461
1967,,630.4298224
1968,,620.7977791
1969,,613.404376
1970,,1144.538869
1971,,1140.113458
1972,,1295.007258
1973,,1605.095964
1974,,1668.401007
1975,,1645.510972
1976,,1689.184628
1977,,1682.790008
1978,,2043.091053
1979,,2470.555224
1980,,2444.145796
1981,,2444.954148
1982,,2716.377669
1983,,3272.071904
1984,,3232.97933
1985,,3203.552696
1986,,3182.429615
1987,,3157.853348
1988,,3114.432403
1989,,3060.555178
1990,,3052.23713
1991,,3027.412786
1992,,3175.357202
1993,,3524.296266
1994,,3506.798358
1995,,3481.657665
1996,,3468.924234
1997,,3444.296227
1998,,3669.58782
1999,,3915.411734
2000,,4191.113389
2001,,4346.137965
2002,,4561.476053
2003,,4689.896038
2004,,4658.653681
2005,,4618.98582
2006,,4634.43051
2007,,5137.042045
2008,,7460.392634
2009,,7664.662709
2010,,7719.557347
2011,,7703.39957
2012,,7962.115309
2013,,7907.530363
2014,,8120.723061
2015,,8042.430872
2016,,7961.302623
2017,,7824.358872
2018,,7784.361839
2019,,7908.265557
1944,Vatnsafl,125.0248081
1945,Vatnsafl,188.1900916
1946,Vatnsafl,196.7611771
1947,Vatnsafl,197.4312618
1948,Vatnsafl,219.730018
1949,Vatnsafl,215.9824407
1950,Vatnsafl,219.9203074
1951,Vatnsafl,214.9653829
1952,Vatnsafl,211.6691688
1953,Vatnsafl,208.2052384
1954,Vatnsafl,471.1814617
1955,Vatnsafl,476.1685028
1956,Vatnsafl,465.8765989
1957,Vatnsafl,456.6564229
1958,Vatnsafl,445.348886
1959,Vatnsafl,469.5573474
1960,Vatnsafl,535.4922205
1961,Vatnsafl,599.5645602
1962,Vatnsafl,588.0452521
1963,Vatnsafl,577.7347805
1964,Vatnsafl,657.1745839
1965,Vatnsafl,651.8368546
1966,Vatnsafl,641.16461
1967,Vatnsafl,630.4298224
1968,Vatnsafl,620.7977791
1969,Vatnsafl,613.404376
1970,Vatnsafl,1128.855824
1971,Vatnsafl,1124.491051
1972,Vatnsafl,1279.575234
1973,Vatnsafl,1589.92376
1974,Vatnsafl,1653.428285
1975,Vatnsafl,1630.743672
1976,Vatnsafl,1674.590216
1977,Vatnsafl,1668.313383
1978,Vatnsafl,1884.92577
1979,Vatnsafl,2313.777714
1980,Vatnsafl,2289.044186
1981,Vatnsafl,2265.298024
1982,Vatnsafl,2538.930666
1983,Vatnsafl,3097.152464
1984,Vatnsafl,3060.172136
1985,Vatnsafl,3032.318396
1986,Vatnsafl,3012.324373
1987,Vatnsafl,2989.109466
1988,Vatnsafl,2948.008774
1989,Vatnsafl,2897.010547
1990,Vatnsafl,2875.709754
1991,Vatnsafl,2852.321137
1992,Vatnsafl,3002.868396
1993,Vatnsafl,3353.555449
1994,Vatnsafl,3319.673739
1995,Vatnsafl,3295.874566
1996,Vatnsafl,3283.820599
1997,Vatnsafl,3260.506755
1998,Vatnsafl,3377.350109
1999,Vatnsafl,3409.086293
2000,Vatnsafl,3583.334827
2001,Vatnsafl,3740.55004
2002,Vatnsafl,3857.995289
2003,Vatnsafl,3991.038961
2004,Vatnsafl,3964.84496
2005,Vatnsafl,3932.283524
2006,Vatnsafl,3862.149914
2007,Vatnsafl,3766.751606
2008,Vatnsafl,5924.218361
2009,Vatnsafl,5871.7467
2010,Vatnsafl,5916.830904
2011,Vatnsafl,5905.326391
2012,Vatnsafl,5888.642729
2013,Vatnsafl,5848.758921
2014,Vatnsafl,6080.535264
2015,Vatnsafl,6019.854148
2016,Vatnsafl,5959.582473
2017,Vatnsafl,5857.070658
2018,Vatnsafl,5642.070705
2019,Vatnsafl,5812.651066
1969,Jarðvarmi,0.0
1970,Jarðvarmi,15.68304565
1971,Jarðvarmi,15.62240644
1972,Jarðvarmi,15.43202434
1973,Jarðvarmi,15.17220452
1974,Jarðvarmi,14.97272157
1975,Jarðvarmi,14.76729966
1976,Jarðvarmi,14.59441216
1977,Jarðvarmi,14.47662477
1978,Jarðvarmi,158.1652827
1979,Jarðvarmi,156.7775096
1980,Jarðvarmi,155.1016092
1981,Jarðvarmi,179.6561242
1982,Jarðvarmi,177.4470028
1983,Jarðvarmi,174.9194394
1984,Jarðvarmi,172.8071941
1985,Jarðvarmi,171.2343001
1986,Jarðvarmi,170.1052423
1987,Jarðvarmi,168.743882
1988,Jarðvarmi,166.4236289
1989,Jarðvarmi,163.5446314
1990,Jarðvarmi,176.5273755
1991,Jarðvarmi,175.0916495
1992,Jarðvarmi,172.4888056
1993,Jarðvarmi,170.740817
1994,Jarðvarmi,187.124619
1995,Jarðvarmi,185.7830982
1996,Jarðvarmi,185.1036356
1997,Jarðvarmi,183.7894721
1998,Jarðvarmi,292.2377111
1999,Jarðvarmi,506.325441
2000,Jarðvarmi,607.7785622
2001,Jarðvarmi,605.5879249
2002,Jarðvarmi,703.4807642
2003,Jarðvarmi,698.8570775
2004,Jarðvarmi,693.8087208
2005,Jarðvarmi,686.7022962
2006,Jarðvarmi,772.2805953
2007,Jarðvarmi,1370.290439
2008,Jarðvarmi,1536.174273
2009,Jarðvarmi,1792.916009
2010,Jarðvarmi,1802.726443
2011,Jarðvarmi,1798.073179
2012,Jarðvarmi,2073.378706
2013,Jarðvarmi,2058.678233
2014,Jarðvarmi,2034.568629
2015,Jarðvarmi,2013.369796
2016,Jarðvarmi,1992.608163
2017,Jarðvarmi,1958.332964
2018,Jarðvarmi,2135.401827
2019,Jarðvarmi,2088.958225
2011,Vindafl,0.0
2012,Vindafl,0.093874677
2013,Vindafl,0.093209096
2014,Vindafl,5.61916781
2015,Vindafl,9.206927985
2016,Vindafl,9.111987225
2017,Vindafl,8.955250348
2018,Vindafl,6.88930754
2019,Vindafl,6.65626651
