Year,Flokkur,Value
2011,,66.0
2012,,79.46153846
2014,,83.76923077
2016,,72.23076923
2017,,72.23076923
2018,,83.61538462
2019,,82.84615385
2011,Matvælaöryggi,100.0
2011,Samhæfing,80.0
2011,Smit milli manna og dýra,100.0
2011,Viðbragðsgeta,71.0
2011,Áhættumiðlun,14.0
2011,Landamæri,54.0
2011,Löggjöf,50.0
2011,Geislavarnir,83.0
2011,Eftirlit,45.0
2011,Greiningargeta,60.0
2011,Efnaeitrun,58.0
2011,Viðbúnaður,77.0
2012,Matvælaöryggi,100.0
2012,Human resources,20.0
2012,Samhæfing,100.0
2012,Smit milli manna og dýra,100.0
2012,Viðbragðsgeta,83.0
2012,Áhættumiðlun,71.0
2012,Landamæri,74.0
2012,Löggjöf,100.0
2012,Geislavarnir,79.0
2012,Eftirlit,75.0
2012,Greiningargeta,77.0
2012,Efnaeitrun,54.0
2012,Viðbúnaður,100.0
2014,Matvælaöryggi,100.0
2014,Human resources,60.0
2014,Samhæfing,83.0
2014,Smit milli manna og dýra,100.0
2014,Viðbragðsgeta,89.0
2014,Áhættumiðlun,71.0
2014,Landamæri,94.0
2014,Löggjöf,100.0
2014,Geislavarnir,77.0
2014,Eftirlit,85.0
2014,Greiningargeta,86.0
2014,Efnaeitrun,54.0
2014,Viðbúnaður,90.0
2016,Matvælaöryggi,80.0
2016,Human resources,60.0
2016,Samhæfing,80.0
2016,Smit milli manna og dýra,78.0
2016,Viðbragðsgeta,71.0
2016,Áhættumiðlun,86.0
2016,Landamæri,66.0
2016,Löggjöf,100.0
2016,Geislavarnir,46.0
2016,Eftirlit,65.0
2016,Greiningargeta,53.0
2016,Efnaeitrun,54.0
2016,Viðbúnaður,100.0
2017,Matvælaöryggi,80.0
2017,Human resources,60.0
2017,Samhæfing,80.0
2017,Smit milli manna og dýra,78.0
2017,Viðbragðsgeta,71.0
2017,Áhættumiðlun,86.0
2017,Landamæri,66.0
2017,Löggjöf,100.0
2017,Geislavarnir,46.0
2017,Eftirlit,65.0
2017,Greiningargeta,53.0
2017,Efnaeitrun,54.0
2017,Viðbúnaður,100.0
2018,Löggjöf,87.0
2018,Samhæfing,100.0
2018,Smit milli manna og dýra,80.0
2018,Matvælaöryggi,80.0
2018,Greiningargeta,87.0
2018,Eftirlit,80.0
2018,Human resources,60.0
2018,Áhættumiðlun,100.0
2018,Landamæri,80.0
2018,Efnaeitrun,60.0
2018,Geislavarnir,80.0
2018,Innlend aðgerðaráætlun vegna neyðartilvika,100.0
2018,Aðgengi heilbrigðisþjónustu,93.0
2019,Löggjöf,87.0
2019,Samhæfing,100.0
2019,Smit milli manna og dýra,80.0
2019,Matvælaöryggi,80.0
2019,Greiningargeta,93.0
2019,Eftirlit,80.0
2019,Human resources,60.0
2019,Áhættumiðlun,100.0
2019,Landamæri,90.0
2019,Efnaeitrun,60.0
2019,Geislavarnir,80.0
2019,Innlend aðgerðaráætlun vegna neyðartilvika,87.0
2019,Aðgengi heilbrigðisþjónustu,80.0
