Year,Category,Value
2000,Domestic Material Consumption (DMC) [Kilotonnes],7762.45
2001,Domestic Material Consumption (DMC) [Kilotonnes],7241.14
2002,Domestic Material Consumption (DMC) [Kilotonnes],6570.38
2003,Domestic Material Consumption (DMC) [Kilotonnes],7272.24
2004,Domestic Material Consumption (DMC) [Kilotonnes],17398.88
2005,Domestic Material Consumption (DMC) [Kilotonnes],13124.26
2006,Domestic Material Consumption (DMC) [Kilotonnes],16062.96
2007,Domestic Material Consumption (DMC) [Kilotonnes],16143.73
2008,Domestic Material Consumption (DMC) [Kilotonnes],18072.96
2009,Domestic Material Consumption (DMC) [Kilotonnes],16805.78
2010,Domestic Material Consumption (DMC) [Kilotonnes],10549.86
2011,Domestic Material Consumption (DMC) [Kilotonnes],6833.0
2012,Domestic Material Consumption (DMC) [Kilotonnes],7950.77
2013,Domestic Material Consumption (DMC) [Kilotonnes],9815.63
2014,Domestic Material Consumption (DMC) [Kilotonnes],7502.03
2015,Domestic Material Consumption (DMC) [Kilotonnes],7643.62
2016,Domestic Material Consumption (DMC) [Kilotonnes],10235.39
2017,Domestic Material Consumption (DMC) [Kilotonnes],8334.5
2018,Domestic Material Consumption (DMC) [Kilotonnes],8756.85
2019,Domestic Material Consumption (DMC) [Kilotonnes],7219.96
2020,Domestic Material Consumption (DMC) [Kilotonnes],6069.58
2000,DMC per capita [kilotonnes per person],0.0278
2001,DMC per capita [kilotonnes per person],0.0256
2002,DMC per capita [kilotonnes per person],0.0229
2003,DMC per capita [kilotonnes per person],0.0252
2004,DMC per capita [kilotonnes per person],0.0599
2005,DMC per capita [kilotonnes per person],0.0447
2006,DMC per capita [kilotonnes per person],0.0536
2007,DMC per capita [kilotonnes per person],0.0525
2008,DMC per capita [kilotonnes per person],0.0573
2009,DMC per capita [kilotonnes per person],0.0526
2010,DMC per capita [kilotonnes per person],0.0332
2011,DMC per capita [kilotonnes per person],0.0215
2012,DMC per capita [kilotonnes per person],0.0249
2013,DMC per capita [kilotonnes per person],0.0305
2014,DMC per capita [kilotonnes per person],0.023
2015,DMC per capita [kilotonnes per person],0.0232
2016,DMC per capita [kilotonnes per person],0.0308
2017,DMC per capita [kilotonnes per person],0.0246
2018,DMC per capita [kilotonnes per person],0.0251
2019,DMC per capita [kilotonnes per person],0.0202
2020,DMC per capita [kilotonnes per person],0.0167
2000,DMC per GDP [kilotonnes per MISK],0.0109
2001,DMC per GDP [kilotonnes per MISK],0.009
2002,DMC per GDP [kilotonnes per MISK],0.0077
2003,DMC per GDP [kilotonnes per MISK],0.0083
2004,DMC per GDP [kilotonnes per MISK],0.0179
2005,DMC per GDP [kilotonnes per MISK],0.0124
2006,DMC per GDP [kilotonnes per MISK],0.0131
2007,DMC per GDP [kilotonnes per MISK],0.0116
2008,DMC per GDP [kilotonnes per MISK],0.0114
2009,DMC per GDP [kilotonnes per MISK],0.0103
2010,DMC per GDP [kilotonnes per MISK],0.0063
2011,DMC per GDP [kilotonnes per MISK],0.0039
2012,DMC per GDP [kilotonnes per MISK],0.0043
2013,DMC per GDP [kilotonnes per MISK],0.005
2014,DMC per GDP [kilotonnes per MISK],0.0036
2015,DMC per GDP [kilotonnes per MISK],0.0033
2016,DMC per GDP [kilotonnes per MISK],0.0041
2017,DMC per GDP [kilotonnes per MISK],0.0032
2018,DMC per GDP [kilotonnes per MISK],0.0031
2019,DMC per GDP [kilotonnes per MISK],0.0024
2020,DMC per GDP [kilotonnes per MISK],0.0021
